Date,Open,High,Low,Close,Volume,Symbol
,MBB.VN,MBB.VN,MBB.VN,MBB.VN,MBB.VN,
2025-05-08,17651.515625,17878.787109375,17575.7578125,17840.908203125,27763150,MBB
2025-05-09,17954.544921875,17954.544921875,17727.2734375,17803.03125,19862449,MBB
2025-05-12,17727.2734375,18106.060546875,17689.39453125,18030.302734375,50034784,MBB
2025-05-13,18219.697265625,18560.60546875,18181.818359375,18560.60546875,54344703,MBB
2025-05-14,18560.60546875,18712.12109375,18446.96875,18560.60546875,39200370,MBB
2025-05-15,18636.36328125,19280.302734375,18636.36328125,18977.2734375,95172132,MBB
2025-05-16,19053.03125,19053.03125,18674.2421875,18674.2421875,39876236,MBB
2025-05-19,18560.60546875,18863.63671875,18446.96875,18636.36328125,34072288,MBB
2025-05-20,18712.12109375,19015.15234375,18560.60546875,18825.7578125,41990902,MBB
2025-05-21,19090.908203125,19356.060546875,18825.7578125,18977.2734375,42347144,MBB
2025-05-22,19204.544921875,19204.544921875,18560.60546875,18674.2421875,34769750,MBB
2025-05-23,18863.63671875,18863.63671875,18598.484375,18674.2421875,22446560,MBB
2025-05-26,18712.12109375,18787.87890625,18181.818359375,18787.87890625,27385485,MBB
2025-05-27,18939.39453125,18939.39453125,18674.2421875,18750.0,23529448,MBB
2025-05-28,18825.7578125,18825.7578125,18598.484375,18636.36328125,18996648,MBB
2025-05-29,18750.0,18750.0,18522.7265625,18560.60546875,16990142,MBB
2025-05-30,18674.2421875,18674.2421875,18446.96875,18446.96875,23580282,MBB
2025-06-02,18522.7265625,18712.12109375,18295.455078125,18636.36328125,25581930,MBB
2025-06-03,18674.2421875,18787.87890625,18674.2421875,18712.12109375,25487325,MBB
2025-06-04,18750.0,18787.87890625,18560.60546875,18598.484375,18811689,MBB
2025-06-05,18598.484375,18674.2421875,18484.84765625,18484.84765625,13402501,MBB
2025-06-06,18446.96875,18484.84765625,18295.455078125,18295.455078125,24448525,MBB
2025-06-09,18295.455078125,18409.091796875,18257.576171875,18371.212890625,17435853,MBB
2025-06-10,18409.091796875,18598.484375,18257.576171875,18333.333984375,17166956,MBB
2025-06-11,18333.333984375,18409.091796875,18295.455078125,18371.212890625,8220927,MBB
2025-06-12,18409.091796875,18712.12109375,18409.091796875,18712.12109375,29779952,MBB
2025-06-13,18522.7265625,18939.39453125,18484.84765625,18825.7578125,65200819,MBB
2025-06-16,18825.7578125,19090.908203125,18787.87890625,19015.15234375,30285723,MBB
2025-06-17,19128.787109375,19242.423828125,18825.7578125,18939.39453125,30384538,MBB
2025-06-18,19015.15234375,19166.666015625,18863.63671875,18977.2734375,35624067,MBB
2025-06-19,19090.908203125,19090.908203125,18901.515625,19015.15234375,20722442,MBB
2025-06-20,19090.908203125,19810.60546875,19053.03125,19545.455078125,68841286,MBB
2025-06-23,19356.060546875,19772.7265625,19318.181640625,19621.212890625,33592191,MBB
2025-06-24,19772.7265625,20000.0,19621.212890625,19621.212890625,36826270,MBB
2025-06-25,19696.96875,19734.84765625,19393.939453125,19393.939453125,30448519,MBB
2025-06-26,19469.697265625,19621.212890625,19318.181640625,19621.212890625,46274844,MBB
2025-06-27,19621.212890625,19772.7265625,19469.697265625,19469.697265625,21384343,MBB
2025-06-30,19507.576171875,19621.212890625,19469.697265625,19545.455078125,16153064,MBB
2025-07-01,19621.212890625,19810.60546875,19545.455078125,19696.96875,35000077,MBB
2025-07-02,19734.84765625,19924.2421875,19696.96875,19734.84765625,18530490,MBB
2025-07-03,19810.60546875,19962.12109375,19659.091796875,19659.091796875,41695566,MBB
2025-07-04,19696.96875,19734.84765625,19583.333984375,19696.96875,19787407,MBB
2025-07-07,19772.7265625,20075.7578125,19772.7265625,20000.0,25219022,MBB
2025-07-08,20075.7578125,20227.2734375,19962.12109375,20000.0,22380771,MBB
2025-07-09,20113.63671875,20303.03125,20000.0,20151.515625,34719286,MBB
2025-07-10,20227.2734375,20227.2734375,20000.0,20037.87890625,19987558,MBB
2025-07-11,20075.7578125,20378.787109375,20037.87890625,20227.2734375,29391212,MBB
